Partido,Municipio,Poblacion,Cordon
1,La Matanza,1772130,1
2,La Plata,649613,3
3,General Pueyrredón,614350,3
4,Lomas de Zamora,613192,1
5,Quilmes,580829,1
6,Almirante Brown,555731,2
7,Merlo,524207,2
8,Moreno,462242,2
9,Lanús,453500,1
10,Florencio Varela,423992,2
11,General San Martín,422830,1
12,San Miguel,381401,2
13,Tigre,380709,2
14,Tres de Febrero,343774,1
15,Avellaneda,340985,1
16,Malvinas Argentinas,321833,1
17,Berazategui,320224,2
18,Morón,319934,2
19,Bahía Blanca,301531,3
20,Esteban Echeverría,298814,2
21,Pilar,298191,3
22,San Isidro,291608,1
23,Vicente López,270929,1
24,José C Paz,263094,2
25,Escobar,210084,3
26,Hurlingham,176505,2
27,Ituzaingó,168419,2
28,Ezeiza,163722,2
29,San Fernando,163462,2
30,San Nicolás,145821,3
31,Tandil,123343,3
32,Zárate,111597,3
33,Olavarría,111320,3
34,Luján,106899,3
35,Pergamino,104922,3
36,Campana,94333,4
37,Necochea,92933,4
38,Junín,90305,4
39,Berisso,88123,3
40,General Rodríguez,87491,2
41,Presidente Perón,81147,2
42,La Costa,70214,4
43,Azul,65174,4
44,Chivilcoy,64148,4
45,Mercedes,62807,4
46,Coronel de Marina L Rosales,61651,4
47,San Vicente,59708,2
48,San Pedro,59247,4
49,Tres Arroyos,58179,4
50,Ensenada,55629,3
51,Marcos Paz,53462,4
52,Cañuelas,50526,2
53,Chacabuco,48703,4
54,9 de Julio,47733,4
55,Balcarce,44064,4
56,Trenque Lauquen,42806,4
57,Chascomús,42558,4
58,Lincoln,42505,4
59,Bragado,40320,4
60,Pehuajó,39659,4
61,General Alvarado,39594,3
62,Coronel Suárez,37776,4
63,Lobos,36416,4
64,25 de Mayo,36090,4
65,Bolívar,34058,4
66,Ramallo,32956,4
67,Baradero,32921,4
68,Salto,32628,4
69,Saladillo,32065,4
70,Villa Gesell,31353,4
71,General Villegas,30916,4
72,Patagones,30806,4
73,Villarino,30745,4
74,Exaltación de la Cruz,29729,4
75,Arrecifes,29027,4
76,Dolores,26601,4
77,Brandsen,26352,4
78,Pinamar,25415,4
79,Colón,24875,4
80,Las Flores,23875,4
81,Rojas,23452,4
82,San Antonio de Areco,23138,4
83,Coronel Pringles,22898,4
84,San Andrés de Giles,22257,4
85,Carlos Casares,22076,4
86,Mar Chiquita,21348,4
87,Monte,21025,4
88,Saavedra,20773,4
89,Benito Juárez,20402,4
90,Ayacucho,19983,4
91,General Madariaga,19726,4
92,Magdalena,19171,4
93,General Viamonte,18074,4
94,General Belgrano,17352,4
95,Lobería,17297,4
96,Rivadavia,17169,4
97,Navarro,17042,4
98,Adolfo Alsina,16846,4
99,Daireaux,16804,4
100,Leandro N Alem,16774,4
101,Coronel Dorrego,15826,4
102,Puán,15603,4
103,Capitán Sarmiento,15322,4
104,Rauch,15061,4
105,General Las Heras,14889,4
106,General Arenales,14855,4
107,Carmen de Areco,14746,4
108,Tornquist,12676,4
109,Roque Pérez,12557,4
110,Adolfo Gonzales Chaves,12029,4
111,Carlos Tejedor,11490,4
112,General Pinto,11356,4
113,Guaminí,11310,4
114,General Paz,11160,4
115,General Alvear,11013,4
116,General La Madrid,10747,4
117,Alberti,10583,4
118,Laprida,10188,4
119,Maipú,10172,4
120,Suipacha,9997,4
121,Punta Indio,9637,4
122,Hipólito Yrigoyen,9485,4
123,Tapalqué,9166,4
124,Florentino Ameghino,8880,4
125,Tres Lomas,8712,4
126,Salliqueló,8573,4
127,San Cayetano,8380,4
128,Castelli,8206,4
129,Monte Hermoso,6494,4
130,Pellegrini,5867,4
131,General Lavalle,3645,4
132,Pila,3613,4
133,General Guido,2814,4
134,Tordillo,1819,4
